KOrtholog	Pathway_name	Pathway_number	Enzyme_name
K01847	Valine, leucine and isoleucine degradation	ko00280	methylmalonyl-CoA mutase [EC:5.4.99.2]
K01874	Selenocompound metabolism	ko00450	methionyl-tRNA synthetase [EC:6.1.1.10]
K01912	Phenylalanine metabolism	ko00360	phenylacetate-CoA ligase [EC:6.2.1.30]
K01914	Alanine, aspartate and glutamate metabolism	ko00250	aspartate--ammonia ligase [EC:6.3.1.1]
K01914	Cyanoamino acid metabolism	ko00460	aspartate--ammonia ligase [EC:6.3.1.1]
K01915	Arginine biosynthesis	ko00220	glutamine synthetase [EC:6.3.1.2]
K01915	Alanine, aspartate and glutamate metabolism	ko00250	glutamine synthetase [EC:6.3.1.2]
K01918	beta-Alanine metabolism	ko00410	pantoate--beta-alanine ligase [EC:6.3.2.1]
K01919	Cysteine and methionine metabolism	ko00270	glutamate--cysteine ligase [EC:6.3.2.2]
K01919	Glutathione metabolism	ko00480	glutamate--cysteine ligase [EC:6.3.2.2]
K01920	Cysteine and methionine metabolism	ko00270	glutathione synthase [EC:6.3.2.3]
K01920	Glutathione metabolism	ko00480	glutathione synthase [EC:6.3.2.3]
K01921	D-Alanine metabolism	ko00473	D-alanine-D-alanine ligase [EC:6.3.2.4]
K01924	D-Glutamine and D-glutamate metabolism	ko00471	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K01925	D-Glutamine and D-glutamate metabolism	ko00471	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
K01928	Lysine biosynthesis	ko00300	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
K01929	Lysine biosynthesis	ko00300	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
K01939	Alanine, aspartate and glutamate metabolism	ko00250	adenylosuccinate synthase [EC:6.3.4.4]
K01940	Arginine biosynthesis	ko00220	argininosuccinate synthase [EC:6.3.4.5]
K01940	Alanine, aspartate and glutamate metabolism	ko00250	argininosuccinate synthase [EC:6.3.4.5]
K01953	Alanine, aspartate and glutamate metabolism	ko00250	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
K01955	Alanine, aspartate and glutamate metabolism	ko00250	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
K01956	Alanine, aspartate and glutamate metabolism	ko00250	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
K01966	Valine, leucine and isoleucine degradation	ko00280	propionyl-CoA carboxylase beta chain [EC:2.1.3.15 6.4.1.3]
K01969	Valine, leucine and isoleucine degradation	ko00280	3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
K02437	Glycine, serine and threonine metabolism	ko00260	glycine cleavage system H protein
K02500	Histidine metabolism	ko00340	imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
K02501	Histidine metabolism	ko00340	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
K02502	Histidine metabolism	ko00340	ATP phosphoribosyltransferase regulatory subunit
K03119	Taurine and hypotaurine metabolism	ko00430	taurine dioxygenase [EC:1.14.11.17]
K03340	Lysine biosynthesis	ko00300	diaminopimelate dehydrogenase [EC:1.4.1.16]
K03367	D-Alanine metabolism	ko00473	D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]
K03781	Tryptophan metabolism	ko00380	catalase [EC:1.11.1.6]
K03785	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	3-dehydroquinate dehydratase I [EC:4.2.1.10]
K03786	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	3-dehydroquinate dehydratase II [EC:4.2.1.10]
K03823	Phosphonate and phosphinate metabolism	ko00440	phosphinothricin acetyltransferase [EC:2.3.1.183]
K03856	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K04072	Tyrosine metabolism	ko00350	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.1.1.1 1.2.1.10]
K04092	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	chorismate mutase [EC:5.4.99.5]
K04486	Histidine metabolism	ko00340	histidinol-phosphatase (PHP family) [EC:3.1.3.15]
K04516	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	chorismate mutase [EC:5.4.99.5]
K04517	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	prephenate dehydrogenase [EC:1.3.1.12]
K04518	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	prephenate dehydratase [EC:4.2.1.51]
K05349	Cyanoamino acid metabolism	ko00460	beta-glucosidase [EC:3.2.1.21]
K05602	Histidine metabolism	ko00340	histidinol-phosphatase [EC:3.1.3.15]
K05606	Valine, leucine and isoleucine degradation	ko00280	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
K05823	Lysine biosynthesis	ko00300	N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]
K06001	Glycine, serine and threonine metabolism	ko00260	tryptophan synthase beta chain [EC:4.2.1.20]
K06001	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	tryptophan synthase beta chain [EC:4.2.1.20]
K06048	Glutathione metabolism	ko00480	glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.-.- 6.3.2.2]
K07008	Histidine metabolism	ko00340	gamma-glutamyl hercynylcysteine S-oxide hydrolase [EC:3.5.1.118]
K07160	Glutathione metabolism	ko00480	5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K07173	Cysteine and methionine metabolism	ko00270	S-ribosylhomocysteine lyase [EC:4.4.1.21]
K07250	Alanine, aspartate and glutamate metabolism	ko00250	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.48 2.6.1.22 2.6.1.19]
K07250	Valine, leucine and isoleucine degradation	ko00280	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.48 2.6.1.22 2.6.1.19]
K07250	Lysine degradation	ko00310	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.48 2.6.1.22 2.6.1.19]
K07250	beta-Alanine metabolism	ko00410	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.48 2.6.1.22 2.6.1.19]
K07751	Glutathione metabolism	ko00480	PepB aminopeptidase [EC:3.4.11.23]
K08590	Alanine, aspartate and glutamate metabolism	ko00250	2-oxoglutaramate amidase [EC:3.5.1.111]
K08963	Cysteine and methionine metabolism	ko00270	methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K09471	Arginine and proline metabolism	ko00330	gamma-glutamylputrescine oxidase [EC:1.4.3.-]
K10536	Arginine and proline metabolism	ko00330	agmatine deiminase [EC:3.5.3.12]
K11258	Valine, leucine and isoleucine biosynthesis	ko00290	acetolactate synthase II small subunit [EC:2.2.1.6]
K11263	Valine, leucine and isoleucine degradation	ko00280	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.3.4.14 6.4.1.3 6.4.1.2]
K11717	Selenocompound metabolism	ko00450	cysteine desulfurase / selenocysteine lyase [EC:4.4.1.16 2.8.1.7]
K11755	Histidine metabolism	ko00340	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19 3.6.1.31]
K12251	Arginine and proline metabolism	ko00330	N-carbamoylputrescine amidase [EC:3.5.1.53]
K12339	Cysteine and methionine metabolism	ko00270	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
K12524	Glycine, serine and threonine metabolism	ko00260	bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:1.1.1.3 2.7.2.4]
K12524	Cysteine and methionine metabolism	ko00270	bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:1.1.1.3 2.7.2.4]
K12524	Lysine biosynthesis	ko00300	bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:1.1.1.3 2.7.2.4]
K12960	Cysteine and methionine metabolism	ko00270	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.28 3.5.4.31]
K13498	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:5.3.1.24 4.1.1.48]
K13788	Taurine and hypotaurine metabolism	ko00430	phosphate acetyltransferase [EC:2.3.1.8]
K13821	Alanine, aspartate and glutamate metabolism	ko00250	RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88 1.5.5.2]
K13821	Arginine and proline metabolism	ko00330	RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88 1.5.5.2]
K13829	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	shikimate kinase / 3-dehydroquinate synthase [EC:4.2.3.4 2.7.1.71]
K13953	Tyrosine metabolism	ko00350	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
K14155	Cysteine and methionine metabolism	ko00270	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K14155	Selenocompound metabolism	ko00450	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K14170	Phenylalanine, tyrosine and tryptophan biosynthesis	ko00400	chorismate mutase / prephenate dehydratase [EC:4.2.1.51 5.4.99.5]
K14188	D-Alanine metabolism	ko00473	D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]
K14260	Arginine biosynthesis	ko00220	alanine-synthesizing transaminase [EC:2.6.1.2 2.6.1.66]
K14260	Alanine, aspartate and glutamate metabolism	ko00250	alanine-synthesizing transaminase [EC:2.6.1.2 2.6.1.66]
K14260	Valine, leucine and isoleucine biosynthesis	ko00290	alanine-synthesizing transaminase [EC:2.6.1.2 2.6.1.66]
K14682	Arginine biosynthesis	ko00220	amino-acid N-acetyltransferase [EC:2.3.1.1]
K15633	Glycine, serine and threonine metabolism	ko00260	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K15634	Glycine, serine and threonine metabolism	ko00260	probable phosphoglycerate mutase [EC:5.4.2.12]
K15635	Glycine, serine and threonine metabolism	ko00260	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K15866	Phenylalanine metabolism	ko00360	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]
K16066	Glycine, serine and threonine metabolism	ko00260	3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.- 1.1.1.381]
K16163	Tyrosine metabolism	ko00350	maleylpyruvate isomerase [EC:5.2.1.4]
K17103	Glycine, serine and threonine metabolism	ko00260	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K17899	D-Arginine and D-ornithine metabolism	ko00472	D-ornithine 4,5-aminomutase subunit alpha [EC:5.4.3.5]
K18012	Lysine degradation	ko00310	L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]
K18014	Lysine degradation	ko00310	3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]
