1852361#Actinomyces bouchesdurhonensis#strain#Marseille-P2825
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000012
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000011
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000010
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000009
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000008
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000007
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000006
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000005
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000004
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000003
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000002
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000001
1658#Actinomyces bovis#strain|serovar|type_material#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000001
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000002
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000003
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000004
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000005
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000006
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000007
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000008
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000009
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000010
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000011
1658#Actinomyces bovis#strain|serovar|type_material|note#NCTC11535|not available: to be reported later|type strain of Actinomyces bovis|contig: ERS1275652SCcontig000012
888050#Actinomyces cardiffensis F0333#strain|host|country|isolation_source#F0333|Homo sapiens|United Kingdom|oral
525245#Actinomyces coleocanis DSM 15436#strain|host|culture_collection|isolation_source#DSM 15436|Homo sapiens|DSM:15436|biological product [ENVO:02000043]
525245#Actinomyces coleocanis DSM 15436#strain#DSM 15436
525245#Actinomyces coleocanis DSM 15436#strain|culture_collection#DSM 15436|DSM:15436
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold8
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold52
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold51
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold26
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold12
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold28
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold33
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold42
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold37
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold17
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold29
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold20
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold47
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold24
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold18
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold23
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold16
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold31
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold34
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold4
1434828#Corynebacterium sp. JB4#strain|note#JB4|contig: Scaffold19
1816684#Corynebacterium sp. Marseille-P2417#strain#Marseille-P2417
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source#Marseille-P4122|tooth
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00001
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00002
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00003
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00004
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00005
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00006
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00007
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00008
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00009
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00010
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00011
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00012
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00013
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00014
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00015
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00016
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00017
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00016
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00015
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00014
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00013
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00012
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00011
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00010
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00009
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00008
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00007
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00006
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00005
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00004
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00003
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00002
2014528#Corynebacterium sp. Marseille-P4122#strain|isolation_source|note#Marseille-P4122|tooth|contig: contig00001
2080750#Corynebacterium sp. Marseille-P4329#strain|isolation_source#Marseille-P4329|skin
1720193#Corynebacterium sp. MC3#strain#MC3
1906332#Corynebacterium sp. NML120713#strain|host|country|isolation_source|collection_date#NML120713|Homo sapiens|Canada: Vancouver|urine|Oct-2012
1906333#Corynebacterium sp. NML130628#strain|host|country|isolation_source|collection_date#NML130628|Homo sapiens|Canada: Vancouver|urine|Aug-2013
702967#Corynebacterium sp. NML98-0116#strain|host|country|isolation_source|collection_date#NML98-0116|Homo sapiens|Canada: Winnipeg|urine|Sep-1998
1881619#Corynebacterium sp. S1S1#isolate|host|metagenome_source|country|isolation_source|collection_date#0123W_59_121|Homo sapiens|human skin metagenome|USA: Pittsburgh, Magee-Womens Hospital of UPMC|Infant 1 DOL 23 skin|2013/2014
1881620#Corynebacterium sp. S5S1#isolate|host|metagenome_source|country|isolation_source|collection_date#0522W_59_9|Homo sapiens|human skin metagenome|USA: Pittsburgh, Magee-Womens Hospital of UPMC|Infant 2 DOL 22 skin|2013/2014
1437874#Corynebacterium sphenisci DSM 44792#strain|host|culture_collection|note|country|isolation_source#DSM 44792|Spheniscus magellanicus|DSM:44792|type strain of Corynebacterium sphenisci|Argentina: ValdA(c)s Peninsula|cloacae of healthy wild penguins (Spheniscus magellanicus)
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00026.26
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00024.24
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00022.22
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00021.21
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00020.20
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00019.19
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00018.18
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00017.17
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00016.16
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00015.15
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00014.14
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00013.13
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00012.12
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00011.11
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00010.10
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00009.9
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00008.8
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00007.7
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00006.6
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00005.5
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00004.4
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00003.3
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00002.2
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00001.1
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00027.27
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00025.25
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00023.23
185761#Corynebacterium spheniscorum#strain#J11, PG 39
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00001.1
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00002.2
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00003.3
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00004.4
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00005.5
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00006.6
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00007.7
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00008.8
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00009.9
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00010.10
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00011.11
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00012.12
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00013.13
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00014.14
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00015.15
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00016.16
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00017.17
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00018.18
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00019.19
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00020.20
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00021.21
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00022.22
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00023.23
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00024.24
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00025.25
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00026.26
185761#Corynebacterium spheniscorum#strain|note#J11, PG 39|contig: Ga0056046_scaffold00027.27
1111729#Corynebacterium sputi DSM 45148#strain|host|culture_collection|country|lat_lon|collection_date#DSM 45148|Homo sapiens|DSM:45148|Germany|50.732 N 7.096 E|Feb-1996
1111729#Corynebacterium sputi DSM 45148#strain|culture_collection#DSM 45148|DSM:45148
1705#Corynebacterium stationis#strain|culture_collection|plasmid|isolation_source#622=DSM 20302|DSM:20302|pCstat1|seawater
1705#Corynebacterium stationis#strain|culture_collection|note|isolation_source#622=DSM 20302|DSM:20302|type strain of Corynebacterium stationis|seawater
1705#Corynebacterium stationis#strain|culture_collection|plasmid|isolation_source#622=DSM 20302|DSM:20302|pCstat1|seawater
1705#Corynebacterium stationis#strain|culture_collection|note|isolation_source#622=DSM 20302|DSM:20302|type strain of Corynebacterium stationis|seawater
43770#Corynebacterium striatum#strain|host|plasmid|country|isolation_source|collection_date#KC-Na-01|Neophocaena asiaeorientalis|pCs-Na-2|South Korea: South sea|Blowhole swab|Jan-2017
43770#Corynebacterium striatum#strain|host|plasmid|country|isolation_source|collection_date#KC-Na-01|Neophocaena asiaeorientalis|pCs-Na-1|South Korea: South sea|Blowhole swab|Jan-2017
43770#Corynebacterium striatum#strain|host|country|isolation_source|collection_date#KC-Na-01|Neophocaena asiaeorientalis|South Korea: South sea|Blowhole swab|Jan-2017
43770#Corynebacterium striatum#strain|host|plasmid|country|isolation_source|collection_date#KC-Na-01|Neophocaena asiaeorientalis|pCs-Na-2|South Korea: South sea|Blowhole swab|Jan-2017
43770#Corynebacterium striatum#strain|host|plasmid|country|isolation_source|collection_date#KC-Na-01|Neophocaena asiaeorientalis|pCs-Na-1|South Korea: South sea|Blowhole swab|Jan-2017
43770#Corynebacterium striatum#strain|host|country|isolation_source|collection_date#KC-Na-01|Neophocaena asiaeorientalis|South Korea: South sea|Blowhole swab|Jan-2017
1200352#Corynebacterium terpenotabidum Y-11#strain|culture_collection|old_name#Y-11|DSM:44721|Corynebacterium terpenotabidum DSM 44721
136857#Corynebacterium testudinoris#strain|host|culture_collection|isolation_source#DSM 44614|Testudinidae|DSM:44614|necrotic lesions in the mouth
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00018
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00017
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00016
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00015
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00014
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00013
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00012
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00011
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00010
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00009
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00008
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00007
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00006
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00005
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00004
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00003
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00002
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00001
1203190#Corynebacterium timonense 5401744#strain#5401744
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00018
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00017
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00016
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00015
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00014
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00013
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00012
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00011
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00010
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00009
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00008
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00007
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00006
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00005
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00004
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00003
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00002
1203190#Corynebacterium timonense 5401744#strain|note#5401744|scaffold00001
1203564#Corynebacterium sp. KPL1857#strain#KPL1857
1401064#Corynebacterium tuscaniense DNF00037#strain|host|isolation_source#DNF00037|Homo sapiens|vagina
65058#Corynebacterium ulcerans#strain|host#210932|Homo sapiens
1121370#Corynebacterium ulceribovis DSM 45146#strain|host|culture_collection|country|isolation_source|lat_lon|collection_date#DSM 45146|Bos taurus|DSM:45146|Germany|Skin of the udder of a cow with a profound ulceration, in Schleswig Holstein, Germany|54.209 N 9.588 E|1996
1121370#Corynebacterium ulceribovis DSM 45146#strain|culture_collection#DSM 45146|DSM:45146
504474#Corynebacterium urealyticum DSM 7109#strain#DSM 7109
401472#Corynebacterium ureicelerivorans#strain|host|culture_collection|note|plasmid|country|isolation_source|collection_date|collected_by#IMMIB RIV-2301|Homo sapiens|DSM:45051|type strain of Corynebacterium ureicelerivorans|unnamed|Germany: Bonn|blood culture|2007|A.F. Yassin
401472#Corynebacterium ureicelerivorans#strain|host|culture_collection|note|country|isolation_source|collection_date|collected_by#IMMIB RIV-2301|Homo sapiens|DSM:45051|type strain of Corynebacterium ureicelerivorans|Germany: Bonn|blood culture|2007|A.F. Yassin
401472#Corynebacterium ureicelerivorans#strain|host|culture_collection|note|plasmid|country|isolation_source|collection_date|collected_by#IMMIB RIV-2301|Homo sapiens|DSM:45051|type strain of Corynebacterium ureicelerivorans|unnamed|Germany: Bonn|blood culture|2007|A.F. Yassin
401472#Corynebacterium ureicelerivorans#strain|host|culture_collection|note|country|isolation_source|collection_date|collected_by#IMMIB RIV-2301|Homo sapiens|DSM:45051|type strain of Corynebacterium ureicelerivorans|Germany: Bonn|blood culture|2007|A.F. Yassin
1852380#Corynebacterium urinapleomorphum#strain|old_name#Marseille-P2799|Corynebacterium sp. Marseille-P2799
1852380#Corynebacterium urinapleomorphum#old_name|strain#Corynebacterium sp. Marseille-P2799|Marseille-P2799
1852380#Corynebacterium urinapleomorphum#strain|old_name#Marseille-P2799|Corynebacterium sp. Marseille-P2799
1072256#Corynebacterium uterequi#strain|host|culture_collection|country|isolation_source|collection_date#DSM 45634|Equus caballus|DSM:45634|Sweden: Henan|uterus of a maiden mare|May-2011
858619#Corynebacterium variabile DSM 44702#strain|culture_collection#DSM 44702|DSM:44702
1224164#Corynebacterium vitaeruminis DSM 20294#strain|culture_collection|note#DSM 20294|DSM:20294|type strain of Corynebacterium vitaeruminis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0014_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0013_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0012_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0011_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0010_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0009_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0008_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0007_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0006_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0005_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0004_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0003_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0002_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0001_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection#NBRC 16721|NBRC:16721
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0001_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0002_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0003_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0004_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0005_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0006_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0007_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0008_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0009_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0010_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0011_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0012_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0013_0001;~type strain of Corynebacterium xerosis
1223513#Corynebacterium xerosis NBRC 16721#strain|culture_collection|note#NBRC 16721|NBRC:16721|contig: CX1_CON0014_0001;~type strain of Corynebacterium xerosis
651822#Fretibacterium fastidiosum#strain#SGP1
134605#Fusobacterium equinum#strain|host|isolation_source#CMW8396|Homo sapiens|Vagina
