"sample_number"	"sample_name"	"number_reads_after_clipmerge_prior_mapping"	"number_reads_mapped_prior_rmdup"	"number_reads_mapped_prior_rmdup_qf"	"number_duplicates_removed"	"number_reads_mapped_after_rmdup"	"percent_endogenous_dna"	"percent_endogenous_dna_qf"	"cluster_factor"	"mean_fold_coverage"	"std_dev_coverage"	"percent_coverage_morethan_1x"	"percent_coverage_morethan_2x"	"percent_coverage_morethan_3x"	"percent_coverage_morethan_4x"	"percent_coverage_morethan_5x"	"frequency_damage_1st_base_3prime"	"frequency_damage_2nd_base_3prime"	"frequency_damage_1st_base_5prime"	"frequency_damage_2nd_base_5prime"	"average_fragment_length"	"median_fragment_length"	"percent_gc_content"	"species"	"mapping_params"
"Sample 52/107"	"JAE014.A0101"	68620482	45125	21310	455	20855	0.066	0.031	1.022	0.7548	2.142	23.73	13.46	9.07	6.6	4.99	0.0224	0.0244	0.0303	0.0256	78.7	76	32.54	"Fusobacterium_nucleatum"	"strict"
"Sample 21/107"	"ECO002.B0101"	24662284	117023	67269	1490	65779	0.475	0.273	1.023	0.7545	1.0505	45.74	19.01	7.06	2.4	0.8	0.2796	0.1154	0.2845	0.1233	39.56	37	64.26	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 97/107"	"PYK004.A0101"	16708305	62170	31013	657	30356	0.372	0.186	1.022	0.7421	1.6803	31.63	15.08	8.99	5.77	3.86	0.071	0.0564	0.0644	0.0578	53.7	49	44.46	"Streptococcos_gordonii"	"strict"
"Sample 98/107"	"PYK005.A0101"	21468513	58795	44770	929	43841	0.274	0.209	1.021	0.7267	1.083	46.67	17.58	5.21	1.42	0.49	0.0743	0.0603	0.0723	0.0579	57.17	51	66.28	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 3/107"	"ABM008.A0101"	5032357	53015	32585	897	31688	1.053	0.648	1.028	0.7249	1.2779	40.09	18.75	7.62	2.78	1.01	0.0605	0.0469	0.0602	0.047	42.92	39	61	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 43/107"	"IBA001.A0101"	12987664	103058	56403	1316	55087	0.794	0.434	1.024	0.7238	1.2939	34.04	18.95	10.22	5.16	2.34	0.0306	0.0268	0.031	0.0245	45.32	40	66.78	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 34/107"	"FUM003.A0101"	15708618	43386	37059	8459	28600	0.276	0.236	1.296	0.723	1.7663	42.65	17.74	6.16	1.89	0.64	0.3345	0.1751	0.3093	0.1542	47.42	43	59.75	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 40/107"	"GOY005.A0101"	9163118	37807	28843	768	28075	0.413	0.315	1.027	0.6986	1.35	42.1	17.39	5.92	1.81	0.61	0.0682	0.0348	0.0726	0.0408	46.69	43	61.54	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 86/107"	"OAK004.A0101"	13488774	68029	40793	1854	38939	0.504	0.302	1.048	0.6974	0.9823	43.85	17.45	5.95	1.8	0.51	0.2073	0.1263	0.2067	0.134	43.24	39	41.15	"Aggregatibacter_aphrophilus"	"strict"
"Sample 70/107"	"MTM003.A0101"	34546048	86614	50013	2244	47769	0.251	0.145	1.047	0.6953	1.1388	38.9	18.22	7.49	2.85	1.04	0.0262	0.0239	0.0274	0.023	50.21	46	66.49	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 80/107"	"MTS001.A0101"	6540914	81260	37264	2053	35211	1.242	0.57	1.058	0.6902	2.4657	17.05	10.51	7.61	5.9	4.74	0.0326	0.0347	0.0324	0.0366	47.33	44	47.68	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 28/107"	"ESA006.A0101"	11233426	30875	25118	651	24467	0.275	0.224	1.027	0.6902	1.9067	42	15.28	4.72	1.54	0.75	0.1367	0.1028	0.1298	0.0986	52.93	47	59.64	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 38/107"	"GDN001.A0101"	30835470	151282	97377	45187	52190	0.491	0.316	1.866	0.6785	1.4527	39.76	15.11	5.57	2.21	1.07	0.3818	0.1816	0.3656	0.1728	44.85	41	65.59	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 41/107"	"GOY006.A0101"	3799236	35752	27381	473	26908	0.941	0.721	1.018	0.671	1.0624	41.96	16.79	5.51	1.59	0.46	0.0708	0.0415	0.0815	0.0429	46.78	43	61.25	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 5/107"	"BIT001.A0101"	23239961	78413	47128	997	46131	0.337	0.203	1.022	0.671	1.1304	36.65	17.44	7.73	3.16	1.22	0.042	0.0358	0.039	0.0369	50.17	45	66.28	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 79/107"	"MTM013.A0101"	7105486	61204	34708	2073	32635	0.861	0.488	1.064	0.6675	2.0123	17.5	11.99	8.97	6.91	5.37	0.0272	0.0444	0.0275	0.0452	51.26	47	57.03	"Rothia_dentocariosa"	"relaxed"
"Sample 66/107"	"MOA001.A0101"	15176910	60349	40559	799	39760	0.398	0.267	1.02	0.6589	0.9848	40.32	17.13	6.02	1.79	0.48	0.168	0.0809	0.1773	0.088	57.16	53	66.08	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 37/107"	"GDC005.A0101"	9931068	34932	29638	1222	28416	0.352	0.298	1.043	0.6586	2.0364	41.03	15.05	4.39	1.27	0.42	0.0831	0.0657	0.0747	0.0725	43.48	40	60.27	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 56/107"	"KNP003.A0102"	10394445	39354	23807	577	23230	0.379	0.229	1.025	0.6515	1.31	30.69	15.98	8.68	4.72	2.49	0.1233	0.1187	0.1219	0.115	60.98	57	28.2	"Fusobacterium_nucleatum"	"relaxed"
"Sample 96/107"	"PYK003.A0101"	14732223	64106	41873	772	41101	0.435	0.284	1.019	0.6478	0.9657	41.38	16.13	5.15	1.42	0.38	0.0677	0.0487	0.069	0.0505	54.37	49	65.71	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 88/107"	"OME002.A0101"	13994463	45217	25108	594	24514	0.323	0.179	1.024	0.6313	1.5233	34.32	11.99	4.81	2.64	1.81	0.0913	0.073	0.0989	0.0821	62.17	58	41.58	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 7/107"	"CDC005.A0101"	4526782	32150	24707	1306	23401	0.71	0.546	1.056	0.6283	1.6073	38.09	13.53	4.13	1.4	0.7	0.1106	0.0865	0.1125	0.0889	50.37	47	59.05	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 96/107"	"PYK003.A0101"	14732223	50645	33539	701	32838	0.344	0.228	1.021	0.6245	1.1267	33.36	15.92	7.57	3.36	1.37	0.1175	0.1004	0.1227	0.0981	52.15	47	50.5	"Treponema_socranskii"	"relaxed"
"Sample 74/107"	"MTM008.A0101"	5164298	53106	30194	2653	27541	1.028	0.585	1.096	0.6154	2.0674	15.67	10.41	7.71	5.96	4.7	0.0341	0.0416	0.0371	0.0374	56	51	57.9	"Rothia_dentocariosa"	"relaxed"
"Sample 54/107"	"JAE016.A0101"	94564553	33101	17268	347	16921	0.035	0.018	1.021	0.6102	1.205	33.51	13.97	6.08	3.02	1.65	0.025	0.0228	0.031	0.0279	79.21	76	42.44	"Streptococcos_gordonii"	"strict"
"Sample 61/107"	"KNP009.A0102"	11345038	61821	33580	718	32862	0.545	0.296	1.022	0.606	1.2674	27.76	15.11	8.44	4.67	2.43	0.0582	0.0479	0.0631	0.0566	63.61	62	65.16	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 55/107"	"KNP001.A0102"	16260023	59021	32998	672	32326	0.363	0.203	1.021	0.5981	1.2695	27.02	15.02	8.47	4.64	2.43	0.0559	0.0484	0.0512	0.0575	63.82	61	65.22	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 73/107"	"MTM006.A0101"	7069851	81468	34135	3128	31007	1.152	0.483	1.101	0.596	2.7575	10.75	7.39	5.77	4.7	3.94	0.0275	0.0281	0.0306	0.0236	48.17	42	57.5	"Rothia_dentocariosa"	"strict"
"Sample 56/107"	"KNP003.A0102"	10394445	49003	33534	717	32817	0.471	0.323	1.022	0.5891	1.0695	34.43	14.84	5.68	2	0.75	0.079	0.0697	0.0855	0.073	61.92	58	65.86	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 89/107"	"OME003.A0101"	13956736	46362	22700	528	22172	0.332	0.163	1.024	0.5662	1.6363	21.23	11.01	7.02	4.82	3.45	0.0714	0.0732	0.0656	0.0774	55.53	50	28.88	"Fusobacterium_nucleatum"	"relaxed"
"Sample 25/107"	"EMN001.A0101"	12579489	41482	22244	729	21515	0.33	0.177	1.034	0.5606	1.6644	18.44	11.24	7.62	5.43	3.92	0.2343	0.1356	0.2473	0.1297	57.24	52	44.97	"Streptococcos_gordonii"	"relaxed"
"Sample 75/107"	"MTM009.A0101"	2385491	24613	21734	1810	19924	1.032	0.911	1.091	0.5582	1.2856	36.86	11.92	3.28	0.96	0.42	0.0696	0.0635	0.0737	0.0608	52.56	48	60.31	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 41/107"	"GOY006.A0101"	3799236	62223	43821	704	43117	1.638	1.153	1.016	0.5566	0.894	36.59	13.11	4.19	1.23	0.36	0.1478	0.0929	0.1511	0.0981	44.53	42	65.91	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 71/107"	"MTM004.A0101"	4106490	78175	33499	3291	30208	1.904	0.816	1.109	0.5497	2.4075	10.96	7.49	5.75	4.63	3.84	0.0254	0.0253	0.0281	0.0269	45.6	40	55.44	"Rothia_dentocariosa"	"strict"
"Sample 33/107"	"FUM002.A0101"	17157534	102408	47890	2948	44942	0.597	0.279	1.066	0.5483	1.0879	31.93	12.99	5.39	2.23	0.93	0.187	0.0762	0.183	0.0776	42.08	38	65.17	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 14/107"	"DJA002.A0101"	11978137	75174	49676	1818	47858	0.628	0.415	1.038	0.5473	1.1463	33.02	12.15	4.27	1.69	0.88	0.051	0.0463	0.0516	0.0454	39.45	36	66.02	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 91/107"	"OME007.A0101"	11490181	54412	24327	711	23616	0.474	0.212	1.03	0.5448	2.5989	13.27	6.96	4.93	3.79	3.05	0.0434	0.04	0.0369	0.0487	55.7	49	42.27	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 6/107"	"BSQ001.A0101"	10866912	27741	23365	568	22797	0.255	0.215	1.025	0.5376	1.0025	36.71	11.72	3.12	0.85	0.31	0.3073	0.163	0.2918	0.1507	44.24	41	59.27	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 28/107"	"ESA006.A0101"	11233426	32318	20571	466	20105	0.288	0.183	1.023	0.5309	1.0722	31.73	10.83	4.79	2.54	1.44	0.0999	0.0832	0.0972	0.0865	58	52	43.35	"Streptococcos_gordonii"	"relaxed"
"Sample 93/107"	"PES001.B0101"	11872279	62562	22533	2849	19684	0.527	0.19	1.145	0.5302	2.4431	11.61	7.46	5.49	4.3	3.47	0.1046	0.0491	0.1069	0.0643	59.17	62	45.63	"Streptococcos_gordonii"	"strict"
"Sample 40/107"	"GOY005.A0101"	9163118	102847	49107	1224	47883	1.122	0.536	1.026	0.5274	0.955	32.05	12.75	5.03	1.87	0.67	0.1181	0.0702	0.128	0.0759	37.99	35	65.74	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 82/107"	"MTS003.A0101"	7532301	58871	41059	1770	39289	0.782	0.545	1.045	0.5258	0.9145	33.56	12.45	4.33	1.43	0.47	0.0414	0.037	0.0424	0.0345	46.17	43	66.84	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 35/107"	"GDC002.A0101"	11300654	66610	45650	1249	44401	0.589	0.404	1.028	0.5243	0.9301	33.57	12.58	4.07	1.22	0.41	0.0608	0.0458	0.0573	0.0448	40.73	37	66.66	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 98/107"	"PYK005.A0101"	21468513	44141	31734	619	31115	0.206	0.148	1.02	0.523	0.8243	36.98	11.62	2.8	0.57	0.12	0.0456	0.0398	0.0476	0.038	57.98	53	66.5	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 12/107"	"CDC010.A0101"	15031925	92504	45694	1316	44378	0.615	0.304	1.03	0.5228	1.0217	28.9	13.45	5.97	2.44	0.96	0.0368	0.0292	0.0403	0.034	40.64	37	65.54	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 27/107"	"ESA004.A0101"	7824141	26540	22612	632	21980	0.339	0.289	1.029	0.5204	1.5243	35.4	10.37	2.62	0.76	0.35	0.0912	0.0749	0.0848	0.0796	44.42	41	59.17	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 78/107"	"MTM012.A0101"	10623025	57429	25809	1312	24497	0.541	0.243	1.054	0.5186	2.5134	9.32	6.47	5.07	4.16	3.5	0.0151	0.0172	0.0162	0.0195	53.05	50	55.84	"Rothia_dentocariosa"	"strict"
"Sample 40/107"	"GOY005.A0101"	9163118	49588	26079	687	25392	0.541	0.285	1.027	0.5094	1.445	18.99	10.78	7.17	4.85	3.26	0.1861	0.1277	0.185	0.1309	44.07	41	44.72	"Streptococcos_gordonii"	"relaxed"
"Sample 16/107"	"DJA007.A0101"	17395667	82199	41930	1003	40927	0.473	0.241	1.025	0.4995	1.0487	28.16	12.32	5.26	2.14	0.85	0.0379	0.0334	0.0389	0.0334	42.1	38	66.35	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 95/107"	"PYK002.A0101"	17218978	31888	21808	472	21336	0.185	0.127	1.022	0.4939	0.8385	34.33	10.77	3	0.79	0.21	0.1873	0.1415	0.1854	0.1419	50.34	46	27.04	"Fusobacterium_nucleatum"	"relaxed"
"Sample 87/107"	"OAK005.A0101"	16940328	42030	28792	601	28191	0.248	0.17	1.021	0.4891	0.8389	33.09	10.95	3.42	1.02	0.29	0.2151	0.1595	0.2057	0.1495	47.57	44	49.52	"Treponema_socranskii"	"relaxed"
"Sample 24/107"	"ECO010.B0101"	12246134	36631	22878	585	22293	0.299	0.187	1.026	0.4839	1.1355	31.59	10.08	3.02	1.02	0.49	0.3138	0.1314	0.3088	0.1307	40.72	38	57.9	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 46/107"	"JAE007.A0101"	66419551	27523	16680	271	16409	0.041	0.025	1.017	0.478	0.7793	34.89	9.7	2.25	0.56	0.19	0.0167	0.0223	0.0128	0.0162	79.88	76	50.18	"Treponema_socranskii"	"relaxed"
"Sample 86/107"	"OAK004.A0101"	13488774	37089	28376	1209	27167	0.275	0.21	1.045	0.4774	0.7594	34.96	9.9	2.3	0.48	0.09	0.2353	0.1296	0.2214	0.1236	48.19	43	48.4	"Treponema_socranskii"	"relaxed"
"Sample 64/107"	"LIS003.A0101"	10417160	35014	20632	409	20223	0.336	0.198	1.02	0.4771	1.0566	25.95	10.73	5.51	2.82	1.4	0.1043	0.1064	0.1001	0.093	51.82	47	43.24	"Streptococcos_gordonii"	"relaxed"
"Sample 86/107"	"OAK004.A0101"	13488774	42018	26120	1240	24880	0.312	0.194	1.05	0.4763	0.8877	30.99	10.96	3.65	1.19	0.4	0.3745	0.2683	0.3554	0.2782	41.63	39	27.25	"Fusobacterium_nucleatum"	"relaxed"
"Sample 17/107"	"EBO001.A0101"	15767290	81618	29889	1981	27908	0.518	0.19	1.071	0.4738	2.6105	9.8	5.81	4.15	3.29	2.74	0.0328	0.0285	0.0366	0.032	42.55	38	57.77	"Rothia_dentocariosa"	"strict"
"Sample 90/107"	"OME005.A0101"	9470819	51080	17869	933	16936	0.539	0.189	1.055	0.4728	5.0552	3.31	2.31	1.89	1.63	1.46	0.0485	0.0496	0.0527	0.0449	61.31	58	42.02	"Streptococcos_gordonii"	"relaxed"
"Sample 51/107"	"JAE013.A0101"	38954329	17409	13967	2088	11879	0.045	0.036	1.176	0.4717	6.1013	26.94	5.76	1.32	0.5	0.38	0.024	0.0188	0.0207	0.0202	74.51	76	59.38	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 95/107"	"PYK002.A0101"	17218978	53951	28585	603	27982	0.313	0.166	1.022	0.4689	0.9763	27.25	10.93	4.87	2.16	0.95	0.0753	0.0547	0.0808	0.0538	45.95	41	50.19	"Treponema_socranskii"	"strict"
"Sample 26/107"	"ESA003.A0101"	10129501	26544	19554	420	19134	0.262	0.193	1.022	0.4688	0.7896	33.49	9.97	2.45	0.6	0.18	0.0842	0.0729	0.079	0.0741	59.16	54	43.21	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 28/107"	"ESA006.A0101"	11233426	23866	17016	414	16602	0.212	0.151	1.025	0.4685	1.1058	32.56	9.41	2.44	0.7	0.31	0.0877	0.0611	0.0834	0.0639	52.95	47	60.18	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 11/107"	"CDC009.A0101"	14286106	30487	18791	400	18391	0.213	0.132	1.022	0.4682	1.3234	30.64	9.37	2.6	0.87	0.42	0.0508	0.0369	0.0537	0.0408	47.76	44	58.37	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 50/107"	"JAE012.A0101"	62752277	41119	15142	684	14458	0.066	0.024	1.047	0.4662	3.0525	16.32	7.86	4.4	2.67	1.77	0.0354	0.0341	0.032	0.0299	77.86	76	47.28	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 34/107"	"FUM003.A0101"	15708618	34478	24036	5356	18680	0.219	0.153	1.287	0.466	1.0659	31.78	10.17	2.76	0.68	0.21	0.2204	0.0915	0.2067	0.0825	46.8	42	60.19	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 89/107"	"OME003.A0101"	13956736	54636	19346	907	18439	0.391	0.139	1.049	0.4601	4.5438	3.92	2.65	2.14	1.83	1.62	0.0633	0.0633	0.0499	0.0569	54.8	49	41.3	"Streptococcos_gordonii"	"relaxed"
"Sample 45/107"	"JAE006.A0101"	87883942	31142	13062	244	12818	0.035	0.015	1.019	0.4501	1.3662	17.33	9.47	6.07	4.04	2.73	0.0201	0.0203	0.0216	0.0244	76.36	76	32.52	"Fusobacterium_nucleatum"	"strict"
"Sample 90/107"	"OME005.A0101"	9470819	49468	27110	741	26369	0.522	0.286	1.028	0.4488	2.4212	9.53	6.07	4.49	3.55	2.9	0.0453	0.0417	0.0499	0.0386	58.7	54	64.2	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 67/107"	"MTK001.A0101"	8268804	49137	21128	1070	20058	0.594	0.256	1.053	0.4364	1.7106	13.36	7.61	5.25	3.83	2.9	0.042	0.0492	0.0469	0.0444	52.53	49	45.79	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 84/107"	"OAK002.A0101"	14005970	41172	23880	806	23074	0.294	0.17	1.035	0.4364	0.8531	28.54	10.17	3.33	1.04	0.3	0.328	0.2648	0.3299	0.2588	41.13	39	26.67	"Fusobacterium_nucleatum"	"relaxed"
"Sample 103/107"	"TAF017.A0101"	19456044	36789	28507	1617	26890	0.189	0.147	1.06	0.4358	0.9308	23.37	13.88	3.68	1.69	0.51	0.4542	0.2381	0.4354	0.2494	44.44	41	47.69	"Treponema_socranskii"	"relaxed"
"Sample 88/107"	"OME002.A0101"	13994463	58365	29784	750	29034	0.417	0.213	1.026	0.4356	1.9979	12.85	6.75	4.71	3.56	2.77	0.0671	0.0536	0.0668	0.0525	51.76	46	63.91	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 70/107"	"MTM003.A0101"	34546048	73172	21340	1133	20207	0.212	0.062	1.056	0.4319	2.7167	8.37	4.84	3.52	2.8	2.33	0.0192	0.0202	0.0207	0.0232	51.6	47	46.08	"Aggregatibacter_aphrophilus"	"strict"
"Sample 80/107"	"MTS001.A0101"	6540914	44345	24108	1190	22918	0.678	0.369	1.052	0.4315	1.343	15.73	9.39	6.15	4.13	2.78	0.0417	0.0438	0.0443	0.0454	47.19	44	57.59	"Rothia_dentocariosa"	"relaxed"
"Sample 26/107"	"ESA003.A0101"	10129501	20099	15350	474	14876	0.198	0.152	1.032	0.4309	2.2908	27.77	6.63	1.74	0.75	0.48	0.0774	0.0613	0.0678	0.0555	54.34	49	59.01	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 37/107"	"GDC005.A0101"	9931068	27932	19657	718	18939	0.281	0.198	1.038	0.4303	1.1594	30.35	8.65	2.04	0.5	0.15	0.0488	0.0345	0.0408	0.0409	42.62	39	60.85	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 80/107"	"MTS001.A0101"	6540914	55381	32994	1528	31466	0.847	0.504	1.049	0.4203	0.7882	28.64	9.46	2.81	0.81	0.22	0.0243	0.0201	0.026	0.0205	46.07	42	66.88	"Pseudopropionibacterium_propionicum"	"strict"
"Sample 70/107"	"MTM003.A0101"	34546048	32287	14555	789	13766	0.093	0.042	1.057	0.4198	1.0426	24.96	9.54	3.98	1.65	0.72	0.0482	0.0635	0.0479	0.0634	66.32	68	31.89	"Fusobacterium_nucleatum"	"relaxed"
"Sample 30/107"	"ESA008.A0101"	9119930	31711	17701	398	17303	0.348	0.194	1.023	0.4183	1.4849	14.7	7.88	5.52	4.07	2.98	0.0682	0.0586	0.0596	0.0642	53.1	48	45	"Streptococcos_gordonii"	"relaxed"
"Sample 86/107"	"OAK004.A0101"	13488774	25004	19116	1118	17998	0.185	0.142	1.062	0.4175	2.0899	29.01	6.94	1.55	0.43	0.21	0.3223	0.1707	0.3104	0.1547	43.51	40	57.72	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 20/107"	"EBO009.A0101"	3668406	23103	17666	560	17106	0.63	0.482	1.033	0.4137	0.9747	29.1	7.88	1.97	0.65	0.35	0.1347	0.0999	0.1283	0.0968	45.38	42	59.97	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 3/107"	"ABM008.A0101"	5032357	53580	34532	931	33601	1.065	0.686	1.028	0.4118	0.7761	28.26	9.3	2.65	0.69	0.18	0.1015	0.0764	0.0936	0.0779	42.28	39	65.76	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 75/107"	"MTM009.A0101"	2385491	20866	16090	1291	14799	0.875	0.674	1.087	0.4104	0.9328	29.33	7.95	1.86	0.51	0.22	0.0433	0.0445	0.0498	0.0385	52.03	47	60.57	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 31/107"	"FDM001.A0101"	4889751	55727	23866	713	23153	1.14	0.488	1.031	0.4097	1.5607	12.53	7.67	5.35	3.92	2.92	0.0342	0.026	0.0291	0.0237	44.34	39	54.01	"Rothia_dentocariosa"	"strict"
"Sample 45/107"	"JAE006.A0101"	87883942	24823	17332	5614	11718	0.028	0.02	1.479	0.4086	10.8855	10.07	1.26	0.61	0.53	0.51	0.0341	0.0348	0.0292	0.0222	65.44	65	57.76	"Desulfobulbus_sp_oral_taxon_041"	"relaxed"
"Sample 82/107"	"MTS003.A0101"	7532301	49024	21665	1024	20641	0.651	0.288	1.05	0.4081	1.4957	13.66	7.78	5.17	3.69	2.7	0.0388	0.0396	0.036	0.0363	47.74	45	46.75	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 75/107"	"MTM009.A0101"	2385491	40382	22912	1907	21005	1.693	0.96	1.091	0.4015	1.252	15.11	9.03	5.83	3.82	2.49	0.038	0.047	0.041	0.0509	47.9	44	57.49	"Rothia_dentocariosa"	"relaxed"
"Sample 97/107"	"PYK004.A0101"	16708305	28839	20016	404	19612	0.173	0.12	1.021	0.3924	0.7185	28.88	7.72	1.98	0.49	0.11	0.109	0.0809	0.1084	0.0842	54.86	50	51.29	"Treponema_socranskii"	"relaxed"
"Sample 18/107"	"EBO003.A0101"	20549945	45788	26697	1837	24860	0.223	0.13	1.074	0.3911	0.777	26.63	8.68	2.66	0.78	0.23	0.0841	0.0695	0.0793	0.0709	43.15	40	51.17	"Treponema_socranskii"	"relaxed"
"Sample 89/107"	"OME003.A0101"	13956736	19337	15508	299	15209	0.139	0.111	1.02	0.3886	0.6636	30.35	7.09	1.23	0.17	0.02	0.0577	0.0499	0.0693	0.0677	70.06	74	47.94	"Treponema_socranskii"	"relaxed"
"Sample 22/107"	"ECO004.B0101"	20400171	41817	28089	1631	26458	0.205	0.138	1.062	0.3865	0.7435	27.79	7.77	2.12	0.6	0.18	0.4313	0.2418	0.4157	0.2518	40.06	37	45.85	"Treponema_socranskii"	"relaxed"
"Sample 89/107"	"OME003.A0101"	13956736	51610	26346	654	25692	0.37	0.189	1.025	0.3863	1.9573	10.04	6.21	4.41	3.33	2.61	0.0548	0.0554	0.0538	0.0566	51.86	46	63.4	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 27/107"	"ESA004.A0101"	7824141	22222	16629	422	16207	0.284	0.213	1.026	0.3803	0.9803	28.51	6.76	1.41	0.34	0.15	0.0553	0.0466	0.0568	0.0512	44.02	40	59.56	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 9/107"	"CDC007.A0101"	15878673	32837	17976	596	17380	0.207	0.113	1.034	0.3795	1.1538	26.31	7.04	1.75	0.57	0.31	0.0861	0.0605	0.085	0.0616	40.97	37	58.93	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 81/107"	"MTS002.A0101"	6562562	39956	17182	986	16196	0.609	0.262	1.061	0.3779	1.676	10.94	6.27	4.38	3.25	2.53	0.0309	0.0373	0.0301	0.0299	56.34	52	47.56	"Aggregatibacter_aphrophilus"	"relaxed"
"Sample 51/107"	"JAE013.A0101"	38954329	32034	12865	1136	11729	0.082	0.033	1.097	0.3775	5.3776	5.76	2.76	1.89	1.5	1.24	0.0177	0.0201	0.0238	0.0213	77.71	76	48.95	"Aggregatibacter_aphrophilus"	"strict"
"Sample 94/107"	"PYK001.A0101"	15248245	33147	23416	499	22917	0.217	0.154	1.022	0.3769	0.7176	27.24	7.8	2.02	0.48	0.11	0.1449	0.1059	0.1399	0.1062	45.1	42	49.69	"Treponema_socranskii"	"relaxed"
"Sample 64/107"	"LIS003.A0101"	10417160	23908	15107	320	14787	0.23	0.145	1.022	0.3765	0.732	26.94	7.71	2.17	0.57	0.15	0.1228	0.1419	0.122	0.1207	55.36	51	28.8	"Fusobacterium_nucleatum"	"relaxed"
"Sample 45/107"	"JAE006.A0101"	87883942	23270	12721	212	12509	0.026	0.014	1.017	0.3645	0.6559	28.33	6.62	1.24	0.21	0.04	0.013	0.0291	0.0155	0.0206	79.91	76	50.9	"Treponema_socranskii"	"relaxed"
"Sample 1/107"	"ABM006.A0101"	8057367	41048	17990	599	17391	0.509	0.223	1.034	0.3614	0.9365	20.28	8.11	3.83	1.9	0.96	0.0552	0.0477	0.0603	0.0596	45.18	40	29.9	"Fusobacterium_nucleatum"	"strict"
"Sample 91/107"	"OME007.A0101"	11490181	41304	22115	603	21512	0.359	0.192	1.028	0.3582	1.8713	9.25	5.67	4.04	3.11	2.49	0.026	0.0341	0.0273	0.029	57.44	51	64.25	"Pseudopropionibacterium_propionicum"	"relaxed"
"Sample 6/107"	"BSQ001.A0101"	10866912	22743	15791	375	15416	0.209	0.145	1.024	0.3573	0.7069	27.13	6.59	1.35	0.32	0.11	0.1989	0.0867	0.1937	0.0864	43.49	40	59.73	"Desulfobulbus_sp_oral_taxon_041"	"strict"
"Sample 78/107"	"MTM012.A0101"	10623025	41432	17792	768	17024	0.39	0.167	1.045	0.3537	1.4063	11.44	6.71	4.56	3.3	2.46	0.0309	0.0368	0.0308	0.0368	50.16	47	46.91	"Aggregatibacter_aphrophilus"	"relaxed"
